,Open,High,Low,Close,Volume,OpenInt,OHLC Avg,HLC Avg,HL Avg,Bid Volume,Ask Volume,LBR Bars,3/10,Mov Avg 3/10,3/10 Diff,Line,Avg,Avg.1,IB,WR7,NR7,TP,3BT,Pure 3BT,BO,HBO,LBO,PF3,PF3[1],5SMA,ERun,STPvt,SIG,LongoBO,ShortBO,ROC,ROC (alt),ROC[1],STPvt.1,Highest ROC,Lowest ROC,LLHHDraw,RANK,ADX,log_ret,atr,roc,rsi,bb_mavg,bb_high,bb_low,bb_width,bb_position,adx,stoch,stoch_signal,sma_5_ratio,hl_ratio,volume_sma,volume_ratio,state
645,66855.0,68840.0,66060.0,68365.0,8061.0,17531,67530,67755,67450,0,0,1,4268.836,3963.073,305.763,0.0,57635,66171,0,0,0,36.2,1,0,0,70195,60120,0,0,0,0,73700,2,72575,62945,5940.0,5940.0,-720.0,73700.0,5940.0,-1400.0,5940.0,99.8,46.8,0.008888245,4967.135781167462,-0.16793224,70.83612475338961,66183.33333333333,71521.32504890912,60845.341617757535,16.1309243482522,0.704352758763253,49.644514688699836,81.8362282878412,60.18196856906538,1.0331565187166583,0.82913667,15265.0,0.5280707500818832,0
646,68015.0,71055.0,66755.0,69805.0,11249.0,17400,68908,69205,68905,0,0,1,4923.336,3991.792,931.544,0.0,58794,67367,0,0,0,30.9,0,0,0,71055,63385,0,0,0,0,70410,-1,71145,65585,2045.0,2045.0,5940.0,70410.0,5940.0,-1400.0,0.0,111.8,48.0,0.02084446,4744.757187444974,11.822186,76.33124330333226,68643.33333333333,70358.83779428806,66927.8288723786,4.998313390826203,0.8385787367816236,54.82850003407327,83.70273794002608,80.45674391218408,1.0361898258791395,0.7093023,10885.333333333334,1.0334088682018523,0
647,69660.0,73550.0,67550.0,72660.0,12897.0,18058,70855,71253,70550,0,0,1,4819.664,4037.24,782.424,0.0,60115,68203,0,0,0,14.9,0,0,0,73550,66060,0,0,0,0,74100,1,74105,65505,4295.0,4295.0,2045.0,74100.0,5940.0,-1400.0,0.0,107.2,49.3,0.040085793,5163.17145829665,7.231405,84.83121537746796,70276.66666666667,73846.39432512404,66706.9390082093,10.159069369038667,0.833825653013987,63.23030498230663,88.11748998664886,84.55215207150542,1.0653490315675263,0.8516667,10735.666666666666,1.2013226938243127,0
648,73100.0,73775.0,69125.0,71800.0,13572.0,17609,71950,71567,71450,0,0,1,4546.664,4071.188,475.476,0.0,61228,70078,0,0,0,17.4,0,0,0,73775,66755,0,0,0,1,74655,-1,78660,66660,1995.0,1995.0,4295.0,74655.0,5940.0,-1400.0,0.0,105.0,50.6,-0.011906624,4992.1143055310995,5.024501,72.98782432478649,71421.66666666667,73813.37920978067,69029.95412355267,6.697442540164753,0.5790925595181856,69.19438667525444,71.86609686609687,81.22877493092396,1.0245726190815947,0.5752688,12572.666666666666,1.0794845962140007,0
649,71370.0,74365.0,71210.0,73915.0,7789.0,17371,72715,73163,72788,0,0,1,4612.164,4166.74,445.424,0.0,62436,71309,0,0,0,29.4,0,0,0,74365,67550,0,0,0,1,73055,-2,76450,67150,1255.0,1255.0,1995.0,73055.0,5940.0,-1400.0,0.0,105.9,51.9,0.029031754,4379.742870354066,5.8878303,82.17040898208623,72791.66666666667,74528.56684290656,71054.76649042679,4.77225005492355,0.8233730264698016,74.28163125094125,93.3969185619956,84.46016847158047,1.0365451766256715,0.85736924,11419.333333333334,0.6820888551579133,0
650,73800.0,74415.0,68805.0,69600.0,12636.0,17408,71655,70940,71610,0,0,1,2908.164,4224.438,-1316.273,0.0,63118,71556,0,0,0,0.0,0,0,0,74415,68805,0,0,1,0,71715,-2,77070,70760,-2200.0,-2200.0,1255.0,71715.0,5940.0,-2200.0,-2200.0,95.8,51.6,-0.0601511,4789.828580236044,-4.2113957,40.27328942881089,71771.66666666667,75295.07726184603,68248.25607148731,9.818388672909999,0.19182321957623832,53.29050030880746,14.171122994652407,59.81137947424833,0.9726647660573536,0.14171124,11332.333333333334,1.115039562314312,1
651,71055.0,72870.0,66125.0,69165.0,15859.0,16819,69804,69387,69498,0,0,1,1495.836,4241.24,-2745.404,0.0,63694,71428,0,1,0,13.8,0,0,0,74415,66125,0,0,0,0,64850,-2,75210,63990,-4750.0,-4750.0,-2200.0,64850.0,5940.0,-4750.0,-4750.0,96.3,50.1,-0.0062704086,5441.55238682403,-3.6699164,37.39039655482453,70893.33333333333,75181.35022799323,66605.31643867343,12.097094869268105,0.29846938855514477,53.032165559667256,36.67068757539204,48.07957637734671,0.9683177465419723,0.45070422,12094.666666666666,1.3112391136589023,1
652,68480.0,69275.0,66830.0,67180.0,8669.0,16696,67941,67762,68053,0,0,1,-619.164,4170.438,-4789.602,0.0,64026,70332,69275,0,1,35.3,1,0,0,74415,66125,0,0,0,0,66745,1,75910,62420,-2420.0,-2420.0,-4750.0,66745.0,5940.0,-4750.0,0.0,90.9,48.7,-0.029119492,4442.70159121602,-9.111818,25.094647058970693,68648.33333333333,70755.02637114293,66541.64029552373,6.13763782896288,0.1515075269674743,52.85994239357379,12.726176115802172,21.18932889528224,0.9551839845305125,0.14314929,12388.0,0.6997901194704497,1
653,67755.0,68385.0,62485.0,64595.0,13848.0,16371,65805,65155,65435,0,0,1,-2504.5,3938.49,-6442.99,0.0,64080,68891,0,0,0,33.2,0,0,1,72870,62485,-1,0,0,0,62610,-1,69625,64735,-4570.0,-4570.0,-2420.0,62610.0,5940.0,-4750.0,0.0,92.8,45.7,-0.039237976,4928.467727477347,-7.1910915,15.279519779452244,66980.0,70722.09388800796,63237.906111992044,11.173764968671124,0.1813281452339994,62.69977902866227,20.317766008666347,23.23820989995355,0.9376406206906562,0.35762712,12792.0,1.0825515947467081,1
654,64130.0,68020.0,61005.0,65990.0,13914.0,15742,64786,65005,64513,0,0,1,-3385.836,3579.927,-6965.763,0.0,64262,67306,0,1,0,9.2,0,0,0,69275,61005,0,-1,0,1,63405,1,70495,58695,-1190.0,-1190.0,-4570.0,63405.0,5940.0,-4750.0,0.0,95.4,42.5,0.02136612,5623.9784849848975,-4.590472,35.652388765450155,65921.66666666667,68034.52150208614,63808.81183124721,6.410198474207664,0.5161708538106241,70.68804989791744,60.278113663845225,31.10735192943795,0.9804475083944968,0.7106201,12143.666666666666,1.1457824380335335,2
